,nature_mach_intel/BindingDB/cluster,nature_mach_intel/BindingDB/protein,nature_mach_intel/BindingDB/random,nature_mach_intel/BindingDB/scaffold,nature_mach_intel/BioSNAP/cluster,nature_mach_intel/BioSNAP/protein,nature_mach_intel/BioSNAP/random,nature_mach_intel/BioSNAP/scaffold,nature_mach_intel/Human/protein,nature_mach_intel/Human/random,nature_mach_intel/Human/scaffold
XGB,"{'n_estimators': 300, 'learning_rate': 0.03444219604854336, 'max_depth': 4, 'gamma': 7.895239956318997e-07, 'min_child_weight': 1.7324692153392194, 'subsample': 0.4266559290116849, 'reg_lambda': 0.00010829714084952148}","{'n_estimators': 100, 'learning_rate': 0.2964349725889311, 'max_depth': 6, 'gamma': 4.7764805219218055e-08, 'min_child_weight': 2.8757399845672846e-08, 'subsample': 0.7312998031624656, 'reg_lambda': 8.683798450033307e-06}","{'n_estimators': 700, 'learning_rate': 0.15542869054652772, 'max_depth': 12, 'gamma': 7.642861370798677e-08, 'min_child_weight': 1.893515256430401e-06, 'subsample': 0.9007921336835165, 'reg_lambda': 0.8289226365872099}","{'n_estimators': 700, 'learning_rate': 0.04806899524830816, 'max_depth': 11, 'gamma': 0.034905343848875225, 'min_child_weight': 1.727482526445556e-07, 'subsample': 0.5110039711776397, 'reg_lambda': 0.6576437177909162}","{'n_estimators': 900, 'learning_rate': 0.09192220858848033, 'max_depth': 9, 'gamma': 4.025195520509501e-05, 'min_child_weight': 0.0009678378284398117, 'subsample': 0.8727645598928393, 'reg_lambda': 0.22540563788769002}","{'n_estimators': 800, 'learning_rate': 0.25192891510278365, 'max_depth': 11, 'gamma': 0.0003132236380456648, 'min_child_weight': 0.0315368963836714, 'subsample': 0.998568719327455, 'reg_lambda': 5.73581057233225e-05}","{'n_estimators': 1000, 'learning_rate': 0.07983072046764195, 'max_depth': 8, 'gamma': 4.471648169002376e-07, 'min_child_weight': 0.005053271332424395, 'subsample': 0.8472163709919651, 'reg_lambda': 8.425844718447192e-06}","{'n_estimators': 700, 'learning_rate': 0.20350747466738048, 'max_depth': 10, 'gamma': 8.351217733044229e-08, 'min_child_weight': 1.035807455374124e-06, 'subsample': 0.870631190758485, 'reg_lambda': 3.415232563852591}","{'n_estimators': 700, 'learning_rate': 0.0462075981440827, 'max_depth': 6, 'gamma': 0.007414863870975554, 'min_child_weight': 2.3389788827064795e-07, 'subsample': 0.9968537019420908, 'reg_lambda': 0.0019310521144162381}","{'n_estimators': 300, 'learning_rate': 0.0998847178001821, 'max_depth': 9, 'gamma': 0.021532896528812837, 'min_child_weight': 4.217504658412399e-05, 'subsample': 0.867173802312505, 'reg_lambda': 0.0011700890746857296}","{'n_estimators': 400, 'learning_rate': 0.1560995485198445, 'max_depth': 6, 'gamma': 0.030590624020760446, 'min_child_weight': 10.066959697977143, 'subsample': 0.5823381767678087, 'reg_lambda': 0.18500824467638977}"
BT_XGB,"{'n_estimators': 600, 'learning_rate': 4.6789410803727395e-05, 'max_depth': 2, 'gamma': 1.5293169876766068e-08, 'min_child_weight': 3.026992858480343e-08, 'subsample': 0.4796692868131583, 'reg_lambda': 2.501397453426575e-06}","{'n_estimators': 800, 'learning_rate': 0.9920796734113505, 'max_depth': 12, 'gamma': 9.395697369908332e-05, 'min_child_weight': 0.0009139577026718254, 'subsample': 0.9688417999991702, 'reg_lambda': 6.857674091135427}","{'n_estimators': 900, 'learning_rate': 0.05356072873218126, 'max_depth': 12, 'gamma': 6.489610549934277e-07, 'min_child_weight': 2.5682372508084104e-06, 'subsample': 0.9157377163579242, 'reg_lambda': 1.0970473301288757}","{'n_estimators': 800, 'learning_rate': 0.13976116292045088, 'max_depth': 9, 'gamma': 0.0005301415709112408, 'min_child_weight': 6.062116323483822e-07, 'subsample': 0.7522811743383084, 'reg_lambda': 4.290748447162049}","{'n_estimators': 1000, 'learning_rate': 0.04429016682752054, 'max_depth': 4, 'gamma': 6.338337471516014e-07, 'min_child_weight': 43.15577476092884, 'subsample': 0.8351796838702641, 'reg_lambda': 7.82008110342631e-06}","{'n_estimators': 800, 'learning_rate': 0.08563333243878192, 'max_depth': 4, 'gamma': 0.0361406594576148, 'min_child_weight': 6.774269207407513e-08, 'subsample': 0.9337333426490285, 'reg_lambda': 8.1292197891693}","{'n_estimators': 900, 'learning_rate': 0.05293224591874424, 'max_depth': 9, 'gamma': 0.0007939961838394925, 'min_child_weight': 3.7208082960081277e-06, 'subsample': 0.4498684490898741, 'reg_lambda': 6.458182946460131e-06}","{'n_estimators': 1000, 'learning_rate': 0.14313429700464242, 'max_depth': 6, 'gamma': 8.201254848028928e-08, 'min_child_weight': 3.5517055835107474, 'subsample': 0.8996106941953959, 'reg_lambda': 0.26447557028132573}","{'n_estimators': 1000, 'learning_rate': 0.017780426288998744, 'max_depth': 8, 'gamma': 5.981825246661207e-08, 'min_child_weight': 0.0004965373445656661, 'subsample': 0.5780127226953231, 'reg_lambda': 6.386122040458309e-06}","{'n_estimators': 700, 'learning_rate': 0.05386424184452116, 'max_depth': 11, 'gamma': 0.001434222564475482, 'min_child_weight': 5.815070055745373e-08, 'subsample': 0.4424479517505075, 'reg_lambda': 0.014600320929293156}","{'n_estimators': 800, 'learning_rate': 0.07693049474894627, 'max_depth': 6, 'gamma': 1.7273036214056865e-05, 'min_child_weight': 2.3222188477156008e-08, 'subsample': 0.4818179702735429, 'reg_lambda': 0.09121415891653972}"
