,Dataset,Seed,Model,ROC,PR
87,BIOSNAP_missing_data_90,1,BT_XGB_Opt,0.9258036118318059,0.9368887744915015
88,BIOSNAP_missing_data_90,2,XGB,0.8316197045874619,0.8537964731761869
89,BIOSNAP_missing_data_90,2,XGB_Opt,0.8414193971411889,0.8701914712787675
90,BIOSNAP_missing_data_90,2,BT_XGB,0.9149895717853307,0.9269065553751823
91,BIOSNAP_missing_data_90,2,BT_XGB_Opt,0.9238549668539532,0.9355914554590956
92,BIOSNAP_missing_data_90,3,XGB,0.8316197045874619,0.8537964731761869
93,BIOSNAP_missing_data_90,3,XGB_Opt,0.8378569296410721,0.8669407041693475
94,BIOSNAP_missing_data_90,3,BT_XGB,0.9149895717853307,0.9269065553751823
95,BIOSNAP_missing_data_90,3,BT_XGB_Opt,0.9250447269428613,0.9364633562635496
96,BIOSNAP_missing_data_90,4,XGB,0.8316197045874619,0.8537964731761869
97,BIOSNAP_missing_data_90,4,XGB_Opt,0.8392139738238008,0.867997807461932
98,BIOSNAP_missing_data_90,4,BT_XGB,0.9149895717853307,0.9269065553751823
99,BIOSNAP_missing_data_90,4,BT_XGB_Opt,0.9251600071873073,0.9364662700688662
100,BIOSNAP_missing_data_95,0,XGB,0.7876714873426169,0.8180724089525233
101,BIOSNAP_missing_data_95,0,XGB_Opt,0.7978992643827166,0.8320229426186923
102,BIOSNAP_missing_data_95,0,BT_XGB,0.8815910129178891,0.9000951702832507
103,BIOSNAP_missing_data_95,0,BT_XGB_Opt,0.8965196982818129,0.9115415240375541
104,BIOSNAP_missing_data_95,1,XGB,0.7876714873426169,0.8180724089525233
105,BIOSNAP_missing_data_95,1,XGB_Opt,0.7963645822490987,0.8293729307889284
106,BIOSNAP_missing_data_95,1,BT_XGB,0.8815910129178891,0.9000951702832507
107,BIOSNAP_missing_data_95,1,BT_XGB_Opt,0.8963970683482134,0.9112496647124073
108,BIOSNAP_missing_data_95,2,XGB,0.7876714873426169,0.8180724089525233
109,BIOSNAP_missing_data_95,2,XGB_Opt,0.7978410689683848,0.8305842905271178
110,BIOSNAP_missing_data_95,2,BT_XGB,0.8815910129178891,0.9000951702832507
111,BIOSNAP_missing_data_95,2,BT_XGB_Opt,0.8958445597367268,0.9112744153806962
112,BIOSNAP_missing_data_95,3,XGB,0.7876714873426169,0.8180724089525233
113,BIOSNAP_missing_data_95,3,XGB_Opt,0.7976063670290506,0.8311682360912708
114,BIOSNAP_missing_data_95,3,BT_XGB,0.8815910129178891,0.9000951702832507
115,BIOSNAP_missing_data_95,3,BT_XGB_Opt,0.8969273922677592,0.911801562052738
116,BIOSNAP_missing_data_95,4,XGB,0.7876714873426169,0.8180724089525233
117,BIOSNAP_missing_data_95,4,XGB_Opt,0.7981038794884925,0.8305011511470513
