,BindingDB,BIOSNAP/full_data,BIOSNAP/missing_data/70,BIOSNAP/missing_data/80,BIOSNAP/missing_data/90,BIOSNAP/missing_data/95,BIOSNAP/unseen_drug,BIOSNAP/unseen_protein,DAVIS
XGB,"{'n_estimators': 300, 'learning_rate': 0.05915174232364009, 'max_depth': 10, 'gamma': 0.24136620707089163, 'min_child_weight': 0.0010064235082737948, 'subsample': 0.7745639849663313, 'reg_lambda': 8.976569880565936}","{'n_estimators': 1000, 'learning_rate': 0.08686266943372155, 'max_depth': 11, 'gamma': 4.020736074666886e-05, 'min_child_weight': 1.4610471640769429e-08, 'subsample': 0.9728842115858463, 'reg_lambda': 0.0005039705066391982}","{'n_estimators': 500, 'learning_rate': 0.17626092297244716, 'max_depth': 8, 'gamma': 1.8944570581156783e-06, 'min_child_weight': 0.0007469466503373318, 'subsample': 0.9590479245513267, 'reg_lambda': 0.017458463911519968}","{'n_estimators': 600, 'learning_rate': 0.10650270350181715, 'max_depth': 8, 'gamma': 0.0009554441412842415, 'min_child_weight': 2.434608897913082e-06, 'subsample': 0.8647215424243402, 'reg_lambda': 3.903220235238468e-05}","{'n_estimators': 400, 'learning_rate': 0.08180952001540781, 'max_depth': 12, 'gamma': 3.5823042637785226e-08, 'min_child_weight': 9.499427873642862e-07, 'subsample': 0.8178784211796281, 'reg_lambda': 9.531050119665873e-06}","{'n_estimators': 800, 'learning_rate': 0.11503895392364881, 'max_depth': 7, 'gamma': 3.1434446766540656e-08, 'min_child_weight': 3.389737239753954e-07, 'subsample': 0.9793922966780259, 'reg_lambda': 0.00011680164832255472}","{'n_estimators': 900, 'learning_rate': 0.1259634663832885, 'max_depth': 10, 'gamma': 4.244032819127046e-06, 'min_child_weight': 3.580874829683391e-08, 'subsample': 0.9503099092896757, 'reg_lambda': 0.001437897477312324}","{'n_estimators': 600, 'learning_rate': 0.09639807881715969, 'max_depth': 9, 'gamma': 0.001544803810052396, 'min_child_weight': 0.0003095978776805155, 'subsample': 0.9146677349676281, 'reg_lambda': 0.03296044424406143}","{'n_estimators': 1000, 'learning_rate': 0.02602194523066069, 'max_depth': 12, 'gamma': 4.758976415540844e-07, 'min_child_weight': 8.123621697851897e-08, 'subsample': 0.7701595458100993, 'reg_lambda': 0.010356522513311756}"
BT_XGB,"{'n_estimators': 900, 'learning_rate': 0.02077870079043057, 'max_depth': 9, 'gamma': 7.453239021051645e-08, 'min_child_weight': 8.874792786867724e-06, 'subsample': 0.5221338774584177, 'reg_lambda': 1.3016199069460688}","{'n_estimators': 1000, 'learning_rate': 0.08668340136361047, 'max_depth': 9, 'gamma': 4.7593371383513586e-08, 'min_child_weight': 5.500520059799478e-07, 'subsample': 0.9220777349042333, 'reg_lambda': 0.05113699889179966}","{'n_estimators': 700, 'learning_rate': 0.1717771320067764, 'max_depth': 6, 'gamma': 1.3891178830283018e-07, 'min_child_weight': 2.826844860704303e-05, 'subsample': 0.8619705743173571, 'reg_lambda': 0.003502098884647805}","{'n_estimators': 800, 'learning_rate': 0.03696441881660651, 'max_depth': 9, 'gamma': 5.168509478233924e-07, 'min_child_weight': 8.538685628116698e-08, 'subsample': 0.435629361421119, 'reg_lambda': 0.010284779639584333}","{'n_estimators': 600, 'learning_rate': 0.09091353122296339, 'max_depth': 7, 'gamma': 4.285582359564771e-05, 'min_child_weight': 1.108929417145537e-07, 'subsample': 0.7585952642908373, 'reg_lambda': 0.08247207345985173}","{'n_estimators': 400, 'learning_rate': 0.10745192201763229, 'max_depth': 4, 'gamma': 1.1959333717712894e-06, 'min_child_weight': 3.2790009653841464e-07, 'subsample': 0.9087128813158991, 'reg_lambda': 3.747459273485396}","{'n_estimators': 1000, 'learning_rate': 0.05247172384858635, 'max_depth': 11, 'gamma': 6.906801813218672e-07, 'min_child_weight': 2.465693572145844e-08, 'subsample': 0.6436045969538997, 'reg_lambda': 6.494440166560062e-05}","{'n_estimators': 1000, 'learning_rate': 0.06906462325337188, 'max_depth': 9, 'gamma': 3.3772723530090604e-08, 'min_child_weight': 0.0004790516492957054, 'subsample': 0.4886337296184515, 'reg_lambda': 0.002095674808321705}","{'n_estimators': 600, 'learning_rate': 0.02033543657954052, 'max_depth': 9, 'gamma': 1.7285236425337998e-06, 'min_child_weight': 4.788488633573016e-07, 'subsample': 0.7562668791054439, 'reg_lambda': 0.3284230371966964}"
